Vehicle RTO Codes,District/Region,State
MH-01,Mumbai (South) - RTO is located in Tardeo,Maharashtra
MH-02,Mumbai (West) - RTO is located in Andheri,Maharashtra
MH-03,Mumbai (East) - RTO is located in Wadala,Maharashtra
MH-04,Thane,Maharashtra
MH-05,"Kalyan: Kalyan, Dombivli, Ulhasnagar, Ambernath and Badlapur - RTO is located in Kalyan",Maharashtra
MH-06,"Raigad - RTO is located in Pen (does not include Navi Mumbai, Kharghar to Panvel)",Maharashtra
MH-07,Sindhudurg - RTO is located in Sindhudurg Nagari,Maharashtra
MH-08,Ratnagiri,Maharashtra
MH-09,Kolhapur,Maharashtra
MH-10,Sangli,Maharashtra
MH-11,Satara,Maharashtra
MH-12,Pune,Maharashtra
MH-13,Solapur (city),Maharashtra
MH-14,Pimpri-Chinchwad,Maharashtra
MH-15,Nashik (city),Maharashtra
MH-16,Ahmednagar,Maharashtra
MH-17,"Shrirampur, Ahmednagar District",Maharashtra
MH-18,Dhule,Maharashtra
MH-19,Jalgaon,Maharashtra
MH-20,Aurangabad,Maharashtra
MH-21,Jalna (city),Maharashtra
MH-22,Parbhani,Maharashtra
MH-23,Beed,Maharashtra
MH-24,Latur,Maharashtra
MH-25,Osmanabad,Maharashtra
MH-26,Nanded,Maharashtra
MH-27,Amravati,Maharashtra
MH-28,Buldana,Maharashtra
MH-29,Yavatmal,Maharashtra
MH-30,Akola,Maharashtra
MH-31,Nagpur,Maharashtra
MH-32,Wardha,Maharashtra
MH-33,Gadchiroli,Maharashtra
MH-34,Chandrapur,Maharashtra
MH-35,Gondia,Maharashtra
MH-36,Bhandara,Maharashtra
MH-37,Washim,Maharashtra
MH-38,Hingoli,Maharashtra
MH-39,Nandurbar,Maharashtra
MH-40,Nagpur (rural),Maharashtra
MH-41,"Malegaon, Nashik District",Maharashtra
MH-42,"Baramati, Pune",Maharashtra
MH-43,Navi Mumbai,Maharashtra
MH-44,"Ambejogai, Beed",Maharashtra
MH-45,"Akluj, Solapur",Maharashtra
MH-46,Panvel-Khopoli,Maharashtra
MH-47,Mumbai (North),Maharashtra
MH-48,Vasai / Virar / Palghar,Maharashtra
MH-49,Nagpur (East),Maharashtra
MH-50,Karad (Satara Rural),Maharashtra
MH-51,Nashik (Rural),Maharashtra
DL-1C,Delhi North: Mall Road,Delhi
DL-1F,Delhi North: Mall Road,Delhi
DL-2C,New Delhi: Tilak Marg,Delhi
DL-2F,New Delhi: Tilak Marg,Delhi
DL-3C,South Delhi: Sheikh Sarai,Delhi
DL-3F,South Delhi: Sheikh Sarai,Delhi
DL-4C,West Delhi West 1: West Janakpuri / Janakpuri / Raja Garden,Delhi
DL-4F,West Delhi West 1: West Janakpuri / Janakpuri / Raja Garden,Delhi
DL-5C,North East Delhi: Loni Road,Delhi
DL-5F,North East Delhi: Loni Road,Delhi
DL-6C,Central Delhi Central: Sarai Kale Khan,Delhi
DL-6F,Central Delhi Central: Sarai Kale Khan,Delhi
DL-7C,East Delhi East 1: Mayur Vihar / Surajmal Vihar,Delhi
DL-7F,East Delhi East 1: Mayur Vihar / Surajmal Vihar,Delhi
DL-8C,North West Delhi 1: WazirPur/ Ashok Vihar/ Rohini,Delhi
DL-8F,North West Delhi 1: WazirPur/ Ashok Vihar/ Rohini,Delhi
DL-9C,South West Delhi South West 1: Janakpuri / Palam / Vasant Vihar,Delhi
DL-9F,South West Delhi South West 1: Janakpuri / Palam / Vasant Vihar,Delhi
DL-10,West Delhi-II: Raja Garden,Delhi
DL-11,North West Delhi North West Zone II: Rohini,Delhi
DL-12,South West Delhi South West II: Vasant Vihar,Delhi
DL-13,East Delhi II: Surajmal Vihar / Shahdara,Delhi
DL-14,"Sonipat due to the NCR, effectively situated in Haryana, presently not in use",Delhi
DL-15,"Gurgaon due to the NCR, effectively situated in Haryana, presently not in use",Delhi
DL-16,"Faridabad due to the NCR, effectively situated in Haryana, presently not in use",Delhi
DL-17,"Noida due to the NCR, effectively situated in Uttar Pradesh, presently not in use",Delhi
