LOOKUP_ID,LOOKUP_NAME,PARENT_ID,TYPE_ID,type_name
500405,Cashless,0,101, TYPE OF SETTLEMENT
503799,Virtual Account,0,101, TYPE OF SETTLEMENT
503756,22,0,101, TYPE OF SETTLEMENT
500406,NonCashless,0,101, TYPE OF SETTLEMENT
503445,SILVER JUBLEE,0,157,ADV PAY POOL
503742,GOODS CARRYING LIABILITY POLICY,0,503398,Act Only Product Name
503743,PASSENGER CARRYING LIABILITY POLICY,0,503398,Act Only Product Name
503749,ROAD TRANSIT ACT ONLY,0,503398,Act Only Product Name
503745,ROAD RISK CLASS F ACT ONLY,0,503398,Act Only Product Name
503746,INTERNAL RISK ACT ONLY,0,503398,Act Only Product Name
503747,MISCELLANEOUS VEHICLE LIABILITY POLICY,0,503398,Act Only Product Name
503748,TRAILER ACT ONLY,0,503398,Act Only Product Name
503741,PRIVATE CAR LIABILITY POLICY,0,503398,Act Only Product Name
503744,TWO WHEELER LIABILITY POLICY,0,503398,Act Only Product Name
516135,Litigation,0,30,BANK BRANCH NAME
515937,Chennai,0,30,BANK BRANCH NAME
515901,Dubai,0,30,BANK BRANCH NAME
515741,Vikhroli (West) Mumbai,0,30,BANK BRANCH NAME
500089,"LAWRENCE ROAD, CHANDIGARH",0,30,BANK BRANCH NAME
515327,Oman,0,30,BANK BRANCH NAME
515632,Khandwa,0,30,BANK BRANCH NAME
508778,THE VIJAY COOP BANK LTD,0,30,BANK BRANCH NAME
515753,Tokyo,0,30,BANK BRANCH NAME
12753908,The Pusad Urban Cooperative Bank Ltd Pusad,0,29,BANK NAME
12753909,DURGAPUR STEEL PEOPLES CO OPERATIVE BANK LTD,0,29,BANK NAME
12753926,"District Cooperative Central Bank Ltd., Nizamabad",0,29,BANK NAME
12754090,THE MEHSANA URBAN COOPERATIVE BANK,0,29,BANK NAME
525564,PAYTM PAYMENTS BANK LTD,0,29,BANK NAME
525580,JANA SMALL FINANCE BANK LTD,0,29,BANK NAME
528173,RAJARAMBAPU SAHAKARI BANK LIMITED,0,29,BANK NAME
528175,AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,0,29,BANK NAME
528183,NORTH EAST SMALL FINANCE BANK LIMITED,0,29,BANK NAME
528185,FINCARE SMALL FINANCE BANK LTD,0,29,BANK NAME
528281,KALUPUR COMMERCIAL COOPERATIVE BANK,0,29,BANK NAME
528694,DEUSTCHE BANK,0,29,BANK NAME
528695,U.S. BANK BIC,0,29,BANK NAME
532699,THE THANE BHARAT SAHAKARI BANK LIMITED,0,29,BANK NAME
533002,Axis Bank UTI Bank Ltd,0,29,BANK NAME
533003,Idbi Bank Limited,0,29,BANK NAME
533004,"MUFG BANK, LTD",0,29,BANK NAME
533005,HDFC BANK LTD.,0,29,BANK NAME
533006,Icici Bank Limited,0,29,BANK NAME
533042,PANCHKULA CENTRAL CO OP BANK LTD,0,29,BANK NAME
